Problema	H0	GraphPlanHeuristic	GraphPlanHeuristicOpt	HSP_AddHeuristic	HSP_MaxHeuristic
1	2.3171703432	2.1939024021	2.6002430163	2.563027343	3.2103412465
2	-1	5.7558123924	5.2689211068	3.1482645394	-1
3	-1	5.0317641775	5.9753516106	3.8522543629	-1
4	-1	5.8755400631	-1	5.1906619104	-1
5	-1	-1	-1	5.7246834874	-1
6	-1	-1	-1	5.9575566196	-1
