Problema	H0	GraphPlanHeuristic	GraphPlanHeuristicOpt	HSP_AddHeuristic	HSP_MaxHeuristic
2	6	6	6	6	6
3	9	9	9	10	10
4	12	12	12	13	13
5	15	15	15	16	16
6	-1	18	19	21	19
7	-1	21	-1	24	-1
8	-1	-1	-1	-1	-1
9	-1	27	-1	31	-1
10	-1	30	-1	34	-1
2B2R	5	5	5	5	5
3B2R	9	9	9	9	9
4B2R	11	13	11	11	13
5B2R	15	17	15	15	17
6B2R	17	21	17	17	21
7B2R	21	25	21	21	25
8B2R	23	29	23	23	29
9B2R	27	33	27	27	33
10B2R	29	37	29	29	37
