Problema	H0	GraphPlanHeuristic	GraphPlanHeuristicOpt	HSP_AddHeuristic	HSP_MaxHeuristic
1	9	9	9	9	9
2	-1	13	-1	13	-1
3	-1	11	11	11	-1
4	-1	17	-1	17	-1
5	-1	-1	-1	15	-1
6	-1	-1	-1	20	-1

