Problema	ILAO	RTDP	LRTDP	VI
Nav-01	159	151781	33	153
Nav-02	160	126774	35	153
Nav-03	161	102591	21	153
Nav-04	163	80394	19	153
Nav-05	165	73797	27	153
Nav-06	167	66398	37	153
Nav-07	169	61404	41	153
Nav-08	175	59819	56	153
Nav-09	191	54647	109	153
Nav-10	179	48401	161	153
