Problema	ILAO	RTDP	LRTDP	VI
Nav-01	12	10	11	13
Nav-02	15	13	15	16
Nav-03	20	16	17	21
Nav-04	29	21	21	31
Nav-05	30	28	26	31
Nav-06	40	37	32	41
Nav-07	50	44	35	51
Nav-08	60	59	57	61
Nav-09	80	77	73	81
Nav-10	100	94	78	101
