caixas	ondemand	all
2	8.8	2.4
3	23.01	8.72
4	77.63	35.55
5	255.23	106.76
6	659.28	243.69
7	1694.17	691.84
8	4560.15	1782.61
9	12403.77	4900.63
10	34762.09	13949.89
